,STATE,WINNER,PARTY,SYMBOL,GENDER,AGE,CATEGORY,EDUCATION,"TOTAL
VOTES",TOTAL ELECTORS
1157,Madhya Pradesh,Winner,BJP,Lotus,MALE,66.0,GENERAL,Post Graduate,838909,1909055
1158,Madhya Pradesh,Loser,INC,Hand,MALE,45.0,GENERAL,Graduate,565566,1909055
1159,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,16005,1909055
1160,Madhya Pradesh,Loser,BSP,Elephant,MALE,60.0,ST,10th Pass,14888,1909055
1161,Madhya Pradesh,Winner,BJP,Lotus,MALE,43.0,ST,Graduate Professional,773550,1834385
1162,Madhya Pradesh,Loser,INC,Hand,MALE,55.0,ST,Post Graduate,571040,1834385
1163,Madhya Pradesh,Loser,CPI(M),Ears of Corn And Sickle,FEMALE,39.0,ST,8th Pass,20673,1834385
1164,Madhya Pradesh,Loser,BSP,Elephant,MALE,33.0,ST,12th Pass,18573,1834385
1165,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18423,1834385
593,Madhya Pradesh,Winner,BJP,Lotus,MALE,59.0,GENERAL,Graduate Professional,704524,1768777
617,Madhya Pradesh,Loser,BSP,Elephant,MALE,43.0,SC,Post Graduate,18338,1760503
620,Madhya Pradesh,Winner,BJP,Lotus,MALE,65.0,ST,Post Graduate,722147,1786151
1936,Madhya Pradesh,Loser,BSP,Elephant,MALE,48.0,ST,12th Pass,26540,1845547
1935,Madhya Pradesh,Loser,CPI(M),Ears of Corn And Sickle,MALE,39.0,GENERAL,10th Pass,27651,1845547
1442,Madhya Pradesh,Winner,BJP,Lotus,MALE,61.0,GENERAL,Graduate,541689,1837723
1934,Madhya Pradesh,Loser,INC,Hand,MALE,63.0,GENERAL,Post Graduate,411818,1845547
595,Madhya Pradesh,Loser,BSP,Elephant,MALE,34.0,GENERAL,8th Pass,45848,1768777
212,Madhya Pradesh,Loser,IND,Auto- Rickshaw,MALE,62.0,GENERAL,Graduate,47220,1767725
211,Madhya Pradesh,Loser,BSP,Elephant,MALE,68.0,GENERAL,Others,85177,1767725
210,Madhya Pradesh,Loser,INC,Hand,MALE,53.0,GENERAL,12th Pass,454036,1767725
209,Madhya Pradesh,Winner,BJP,Lotus,MALE,66.0,GENERAL,Others,696102,1767725
1798,Madhya Pradesh,Loser,BTP,Auto- Rickshaw,MALE,28.0,ST,Graduate,14784,1851112
1797,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,35431,1851112
814,Madhya Pradesh,Winner,BJP,Lotus,MALE,43.0,GENERAL,Graduate Professional,614049,1675724
815,Madhya Pradesh,Loser,INC,Hand,MALE,48.0,GENERAL,Post Graduate,488500,1675724
816,Madhya Pradesh,Loser,BSP,Elephant,MALE,41.0,GENERAL,Post Graduate,37530,1675724
817,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,12403,1675724
1796,Madhya Pradesh,Loser,INC,Hand,MALE,68.0,ST,Post Graduate,605467,1851112
1795,Madhya Pradesh,Winner,BJP,Lotus,MALE,62.0,ST,Graduate Professional,696103,1851112
1369,Madhya Pradesh,Winner,BJP,Lotus,MALE,59.0,ST,Post Graduate,737266,1951267
2167,Madhya Pradesh,Loser,INC,Hand,MALE,56.0,SC,5th Pass,426026,1661229
2166,Madhya Pradesh,Winner,BJP,Lotus,MALE,47.0,SC,12th Pass,791663,1661229
2205,Madhya Pradesh,Winner,BJP,Lotus,MALE,65.0,GENERAL,12th Pass,853022,1741604
2206,Madhya Pradesh,Loser,INC,Hand,MALE,43.0,GENERAL,Post Graduate,349938,1741604
2207,Madhya Pradesh,Loser,BSP,Elephant,FEMALE,51.0,SC,Graduate,14409,1741604
1370,Madhya Pradesh,Loser,INC,Hand,MALE,58.0,ST,Graduate,639592,1951267
1371,Madhya Pradesh,Loser,GGP,Saw,MALE,57.0,ST,8th Pass,48925,1951267
1372,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,32240,1951267
1147,Madhya Pradesh,Winner,BJP,Lotus,MALE,49.0,GENERAL,Post Graduate,811135,1842095
1148,Madhya Pradesh,Loser,INC,Hand,FEMALE,39.0,GENERAL,Graduate,318753,1842095
1149,Madhya Pradesh,Loser,SP,Bicycle,MALE,39.0,GENERAL,12th Pass,40077,1842095
1888,Madhya Pradesh,Winner,BJP,Lotus,MALE,56.0,GENERAL,Post Graduate,588753,1575064
1933,Madhya Pradesh,Winner,BJP,Lotus,FEMALE,41.0,GENERAL,Post Graduate,698342,1845547
364,Madhya Pradesh,Winner,BJP,Lotus,MALE,55.0,ST,Post Graduate,811248,1737437
365,Madhya Pradesh,Loser,INC,Hand,MALE,31.0,ST,Graduate Professional,451007,1737437
522,Madhya Pradesh,Loser,ABGP,Battery Torch,MALE,56.0,ST,Post Graduate,35968,1514783
367,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,22787,1737437
1828,Madhya Pradesh,Loser,INC,Hand,MALE,65.0,GENERAL,Post Graduate,340689,1583129
1829,Madhya Pradesh,Loser,BSP,Elephant,MALE,47.0,GENERAL,12th Pass,20363,1583129
915,Madhya Pradesh,Loser,BSP,Elephant,MALE,78.0,SC,Post Graduate,12873,1819893
914,Madhya Pradesh,Loser,INC,Hand,MALE,63.0,GENERAL,Graduate Professional,371710,1819893
366,Madhya Pradesh,Loser,BSP,Elephant,MALE,44.0,ST,Literate,23573,1737437
913,Madhya Pradesh,Winner,BJP,Lotus,MALE,56.0,GENERAL,Graduate,826454,1819893
1895,Madhya Pradesh,Winner,BJP,Lotus,FEMALE,32.0,ST,Graduate,747977,1656474
1896,Madhya Pradesh,Loser,INC,Hand,FEMALE,50.0,ST,Post Graduate,344644,1656474
907,Madhya Pradesh,Loser,INC,Hand,MALE,58.0,GENERAL,Graduate,520815,2350580
906,Madhya Pradesh,Winner,BJP,Lotus,MALE,57.0,GENERAL,Graduate Professional,1068569,2350580
1756,Madhya Pradesh,Loser,INC,Hand,FEMALE,50.0,GENERAL,Graduate,392805,1694329
1827,Madhya Pradesh,Winner,BJP,Lotus,MALE,51.0,GENERAL,Post Graduate,646231,1583129
1755,Madhya Pradesh,Winner,BJP,Lotus,MALE,58.0,GENERAL,Graduate,823824,1694329
1898,Madhya Pradesh,Loser,BSP,Elephant,MALE,65.0,ST,10th Pass,20598,1656474
1899,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,20027,1656474
1900,Madhya Pradesh,Loser,GGP,Saw,MALE,27.0,ST,10th Pass,16789,1656474
2092,Madhya Pradesh,Loser,SP,Bicycle,MALE,56.0,SC,Graduate,42585,1647399
2091,Madhya Pradesh,Loser,INC,Hand,FEMALE,47.0,SC,Post Graduate,324189,1647399
2090,Madhya Pradesh,Winner,BJP,Lotus,MALE,65.0,SC,Doctorate,672248,1647399
889,Madhya Pradesh,Loser,BSP,Elephant,MALE,68.0,SC,Post Graduate,15364,1706141
888,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18413,1706141
887,Madhya Pradesh,Loser,INC,Hand,MALE,39.0,GENERAL,Graduate,324245,1706141
886,Madhya Pradesh,Winner,BJP,Lotus,MALE,54.0,GENERAL,Graduate,877927,1706141
1444,Madhya Pradesh,Loser,BSP,Elephant,MALE,61.0,GENERAL,8th Pass,129380,1837723
1897,Madhya Pradesh,Loser,CPI(M),Ears of Corn And Sickle,FEMALE,31.0,ST,12th Pass,33695,1656474
1812,Madhya Pradesh,Loser,CPI(M),"Hammer, Sickle and Star",MALE,49.0,GENERAL,Post Graduate,10423,1679534
594,Madhya Pradesh,Loser,INC,Hand,MALE,57.0,GENERAL,10th Pass,351113,1768777
1811,Madhya Pradesh,Loser,BSP,Elephant,MALE,36.0,GENERAL,Graduate,91109,1679534
621,Madhya Pradesh,Loser,INC,Hand,MALE,38.0,ST,Graduate,566118,1786151
415,Madhya Pradesh,Loser,INC,Hand,MALE,71.0,GENERAL,Graduate Professional,501660,2142861
414,Madhya Pradesh,Winner,BJP,Lotus,FEMALE,49.0,GENERAL,Post Graduate,866482,2142861
399,Madhya Pradesh,Loser,BSP,Elephant,MALE,67.0,SC,10th Pass,66613,1765334
398,Madhya Pradesh,Loser,INC,Hand,MALE,28.0,SC,Graduate Professional,327809,1765334
622,Madhya Pradesh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,17929,1786151
623,Madhya Pradesh,Loser,BSP,Elephant,MALE,61.0,ST,Post Graduate,13827,1786151
397,Madhya Pradesh,Winner,BJP,Lotus,FEMALE,45.0,SC,Post Graduate,527694,1765334
520,Madhya Pradesh,Winner,INC,Hand,MALE,44.0,GENERAL,Graduate,587305,1514783
1890,Madhya Pradesh,Loser,BSP,Elephant,MALE,62.0,GENERAL,8th Pass,109961,1575064
521,Madhya Pradesh,Loser,BJP,Lotus,MALE,57.0,ST,10th Pass,549769,1514783
1809,Madhya Pradesh,Winner,BJP,Lotus,MALE,62.0,GENERAL,Graduate Professional,583769,1679534
1810,Madhya Pradesh,Loser,INC,Hand,MALE,34.0,GENERAL,Graduate Professional,270961,1679534
1624,Maharashtra,Loser,BVA,Auto- Rickshaw,MALE,63.0,ST,8th Pass,491596,1885600
1626,Maharashtra,Loser,IND,BUCKET,MALE,55.0,ST,8th Pass,13932,1885600
1273,Maharashtra,Winner,BJP,Lotus,MALE,57.0,SC,10th Pass,661495,1886657
1802,Maharashtra,Loser,VBA,Whistle,MALE,74.0,GENERAL,8th Pass,30882,1455577
1627,Maharashtra,Loser,VBA,Key,MALE,34.0,ST,5th Pass,13728,1885600
1628,Maharashtra,Loser,BSP,Elephant,MALE,43.0,ST,8th Pass,13446,1885600
1699,Maharashtra,Loser,INC,Hand,MALE,62.0,GENERAL,10th Pass,308207,2075824
1700,Maharashtra,Loser,VBA,Cup & Saucer,MALE,35.0,GENERAL,12th Pass,64793,2075824
1701,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,11001,2075824
1625,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,29479,1885600
1274,Maharashtra,Loser,INC,Hand,MALE,59.0,SC,Post Graduate,372384,1886657
1803,Maharashtra,Loser,IND,Almirah,MALE,28.0,GENERAL,Graduate,17668,1455577
1858,Maharashtra,Winner,BJP,Lotus,MALE,54.0,GENERAL,10th Pass,508995,1809109
1605,Maharashtra,Winner,SHS,Bow and Arrow,MALE,35.0,GENERAL,12th Pass,596640,1889740
1302,Maharashtra,Loser,IND,Tent,MALE,43.0,GENERAL,Literate,12869,1909574
1607,Maharashtra,Loser,VBA,Cup & Saucer,MALE,39.0,GENERAL,8th Pass,98579,1889740
1808,Maharashtra,Loser,VBA,Cup & Saucer,MALE,39.0,GENERAL,12th Pass,88365,1775051
1806,Maharashtra,Winner,BJP,Lotus,FEMALE,31.0,GENERAL,Graduate,655386,1775051
1301,Maharashtra,Loser,VBA,Key,MALE,78.0,GENERAL,Graduate Professional,51532,1909574
1300,Maharashtra,Loser,NCP,Clock,MALE,50.0,GENERAL,Graduate,500550,1909574
1275,Maharashtra,Loser,VBA,Whistle,MALE,59.0,SC,Post Graduate,112255,1886657
1805,Maharashtra,Loser,BARESP,Air Conditioner,MALE,32.0,SC,Graduate,9565,1455577
1638,Maharashtra,Loser,CPI(M),Ears of Corn And Sickle,MALE,52.0,GENERAL,Graduate,17095,1985228
1623,Maharashtra,Winner,SHS,Bow and Arrow,MALE,51.0,ST,Graduate,580479,1885600
1299,Maharashtra,Winner,BJP,Lotus,MALE,42.0,GENERAL,12th Pass,586314,1909574
1637,Maharashtra,Loser,VBA,Cup & Saucer,MALE,37.0,GENERAL,Graduate,149946,1985228
1636,Maharashtra,Loser,NCP,Clock,MALE,39.0,GENERAL,Graduate,496742,1985228
1635,Maharashtra,Winner,SHS,Bow and Arrow,MALE,52.0,GENERAL,10th Pass,538941,1985228
1606,Maharashtra,Loser,NCP,Clock,MALE,47.0,GENERAL,Graduate Professional,469074,1889740
1804,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,13777,1455577
1807,Maharashtra,Loser,INC,Hand,MALE,59.0,GENERAL,Post Graduate,319504,1775051
1543,Maharashtra,Winner,BJP,Lotus,FEMALE,31.0,ST,Post Graduate,639136,1871099
1800,Maharashtra,Loser,MSHP,Refrigerator,MALE,38.0,GENERAL,Doctorate,279700,1455577
1784,Maharashtra,Winner,SHS,Bow and Arrow,MALE,53.0,SC,Graduate,597126,1922764
1199,Maharashtra,Loser,VBA,Cup & Saucer,FEMALE,37.0,GENERAL,Doctorate,63439,1880496
1391,Maharashtra,Winner,SHS,Bow and Arrow,MALE,55.0,GENERAL,8th Pass,720663,2298080
1392,Maharashtra,Loser,NCP,Clock,MALE,29.0,GENERAL,Graduate,504750,2298080
1393,Maharashtra,Loser,VBA,Cup & Saucer,MALE,47.0,GENERAL,Others,75904,2298080
1465,Maharashtra,Winner,SHS,Bow & Arrow,MALE,47.0,SC,Others,424913,1440380
1464,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,15115,1554176
1394,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,15779,2298080
1462,Maharashtra,Loser,INC,Hand,MALE,43.0,GENERAL,Graduate,321870,1554176
1461,Maharashtra,Winner,SHS,Bow and Arrow,MALE,67.0,GENERAL,Graduate,421937,1554176
1460,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18225,1732263
1459,Maharashtra,Loser,VBA,Cup & Saucer,MALE,46.0,GENERAL,8th Pass,23422,1732263
1458,Maharashtra,Loser,INC,Hand,MALE,54.0,GENERAL,Graduate,309735,1732263
1785,Maharashtra,Loser,INC,Hand,MALE,61.0,SC,Post Graduate,470343,1922764
1457,Maharashtra,Winner,SHS,Bow and Arrow,MALE,75.0,GENERAL,Graduate,570063,1732263
1455,Maharashtra,Loser,VBA,Cup & Saucer,FEMALE,50.0,GENERAL,Graduate,68239,1588693
1198,Maharashtra,Loser,NCP,Clock,MALE,47.0,GENERAL,Graduate,478517,1880496
1454,Maharashtra,Loser,NCP,Clock,MALE,50.0,GENERAL,Graduate,288113,1588693
1453,Maharashtra,Winner,BJP,Lotus,MALE,46.0,GENERAL,10th Pass,514599,1588693
1452,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,10669,1679891
1451,Maharashtra,Loser,VBA,Cup & Saucer,MALE,46.0,GENERAL,Doctorate,33703,1679891
1450,Maharashtra,Loser,INC,Hand,FEMALE,52.0,GENERAL,Graduate,356667,1679891
1449,Maharashtra,Winner,BJP,Lotus,FEMALE,38.0,GENERAL,Others,486672,1679891
1448,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,11966,1647350
1447,Maharashtra,Loser,VBA,Cup & Saucer,MALE,48.0,SC,Graduate,15691,1647350
1446,Maharashtra,Loser,INC,Hand,FEMALE,48.0,GENERAL,12th Pass,241431,1647350
1445,Maharashtra,Winner,BJP,Lotus,MALE,65.0,GENERAL,5th Pass,706678,1647350
1197,Maharashtra,Winner,SHS,Bow and Arrow,MALE,54.0,GENERAL,Post Graduate,749085,1880496
1456,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,12466,1588693
1860,Maharashtra,Loser,VBA,Cup & Saucer,MALE,36.0,GENERAL,12th Pass,300234,1809109
1859,Maharashtra,Loser,SWP,Bat,MALE,38.0,GENERAL,Graduate,344643,1809109
1466,Maharashtra,Loser,INC,Hand,MALE,79.0,GENERAL,10th Pass,272774,1440380
1887,Maharashtra,Loser,VBA,Cup & Saucer,MALE,63.0,SC,Graduate Professional,40673,1848489
1886,Maharashtra,Loser,SHS,Bow and Arrow,MALE,44.0,GENERAL,12th Pass,452498,1848489
1885,Maharashtra,Winner,NCP,Clock,MALE,53.0,GENERAL,12th Pass,579026,1848489
1799,Maharashtra,Winner,SHS,Bow and Arrow,MALE,65.0,GENERAL,Post Graduate,458022,1455577
1565,Maharashtra,Loser,VBA,Cup & Saucer,MALE,38.0,GENERAL,Others,109981,1885064
1564,Maharashtra,Loser,IND,Tractor Chalata Kisan,MALE,61.0,GENERAL,Graduate Professional,134527,1885064
1563,Maharashtra,Loser,NCP,Clock,MALE,45.0,GENERAL,10th Pass,271395,1885064
1562,Maharashtra,Winner,SHS,Bow and Arrow,MALE,48.0,GENERAL,Others,563599,1885064
1547,Maharashtra,Loser,IND,Bat,MALE,58.0,ST,Graduate Professional,13820,1871099
1546,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,21925,1871099
1545,Maharashtra,Loser,VBA,Cup & Saucer,MALE,33.0,ST,Post Graduate,25702,1871099
1544,Maharashtra,Loser,INC,Hand,MALE,61.0,ST,Post Graduate,543507,1871099
1542,Maharashtra,Loser,VBA,Cup & Saucer,MALE,42.0,GENERAL,Doctorate,166196,1719322
1541,Maharashtra,Loser,INC,Hand,MALE,60.0,GENERAL,Post Graduate,446658,1719322
1540,Maharashtra,Winner,BJP,Lotus,MALE,57.0,GENERAL,12th Pass,486806,1719322
1729,Maharashtra,Winner,NCP,Clock,MALE,64.0,GENERAL,Others,486968,1652965
1730,Maharashtra,Loser,SHS,Bow and Arrow,MALE,67.0,GENERAL,10th Pass,455530,1652965
1520,Maharashtra,Loser,VBA,Cup & Saucer,MALE,47.0,SC,Graduate,26128,2161096
1519,Maharashtra,Loser,BSP,Elephant,MALE,47.0,GENERAL,10th Pass,31725,2161096
1518,Maharashtra,Loser,INC,Hand,MALE,56.0,GENERAL,12th Pass,444212,2161096
1787,Maharashtra,Loser,VBA,Cup & Saucer,FEMALE,58.0,SC,Literate,36340,1922764
1517,Maharashtra,Winner,BJP,Lotus,MALE,62.0,GENERAL,Graduate Professional,660221,2161096
1731,Maharashtra,Loser,VBA,Cup & Saucer,FEMALE,61.0,GENERAL,5th Pass,23196,1652965
1732,Maharashtra,Loser,IND,Air Conditioner,MALE,50.0,GENERAL,10th Pass,12265,1652965
1733,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,11490,1652965
1786,Maharashtra,Loser,BSP,Elephant,MALE,29.0,SC,10th Pass,44327,1922764
1469,Maharashtra,Loser,BSP,Elephant,MALE,41.0,GENERAL,5th Pass,8635,1440380
1468,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,13834,1440380
1467,Maharashtra,Loser,VBA,Cup & Saucer,MALE,51.0,GENERAL,Graduate Professional,63412,1440380
1801,Maharashtra,Loser,INC,Hand,MALE,62.0,GENERAL,10th Pass,63299,1455577
1463,Maharashtra,Loser,VBA,Cup & Saucer,MALE,68.0,GENERAL,Others,30348,1554176
1698,Maharashtra,Winner,BJP,Lotus,MALE,68.0,GENERAL,Graduate,632835,2075824
347,Maharashtra,Winner,BJP,Lotus,FEMALE,36.0,GENERAL,Post Graduate,678175,2045405
2057,Maharashtra,Loser,NCP,Clock,MALE,46.0,GENERAL,Post Graduate,328824,2370903
2058,Maharashtra,Loser,VBA,Cup & Saucer,MALE,47.0,GENERAL,Literate,47432,2370903
662,Maharashtra,Loser,VBA,Cup & Saucer,MALE,53.0,ST,10th Pass,58847,1732936
661,Maharashtra,Loser,CPI(M),"Hammer, Sickle and Star",MALE,70.0,ST,Graduate,109570,1732936
660,Maharashtra,Loser,NCP,Clock,MALE,44.0,ST,12th Pass,368691,1732936
659,Maharashtra,Winner,BJP,Lotus,FEMALE,40.0,ST,Graduate Professional,567470,1732936
2059,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,20426,2370903
644,Maharashtra,Loser,VBA,Cup & Saucer,MALE,46.0,GENERAL,5th Pass,39449,1908173
643,Maharashtra,Loser,INC,Hand,MALE,45.0,GENERAL,Graduate,384290,1908173
948,Maharashtra,Winner,BJP,Lotus,MALE,40.0,GENERAL,Graduate Professional,713874,1931400
949,Maharashtra,Loser,NCP,Clock,MALE,63.0,GENERAL,10th Pass,302257,1931400
950,Maharashtra,Loser,VBA,Cup & Saucer,FEMALE,50.0,GENERAL,Graduate,37366,1931400
951,Maharashtra,Loser,BJP,Lotus,MALE,65.0,GENERAL,Graduate,698019,1867220
952,Maharashtra,Loser,INC,Hand,MALE,50.0,GENERAL,12th Pass,365204,1867220
953,Maharashtra,Loser,VBA,Whistle,MALE,65.0,GENERAL,Post Graduate,77158,1867220
954,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,15637,1867220
642,Maharashtra,Winner,BJP,Lotus,MALE,66.0,GENERAL,Post Graduate,613533,1908173
1981,Maharashtra,Winner,BJP,Lotus,MALE,63.0,SC,Graduate,524985,1851654
1927,Maharashtra,Loser,VBA,Cup & Saucer,MALE,36.0,GENERAL,8th Pass,38070,2175529
1926,Maharashtra,Loser,SHS,Bow and Arrow,MALE,64.0,GENERAL,Others,577347,2175529
1925,Maharashtra,Winner,NCP,Clock,MALE,38.0,GENERAL,Graduate Professional,635830,2175529
1924,Maharashtra,Loser,IND,Whistle,MALE,32.0,SC,12th Pass,12946,1587079
1923,Maharashtra,Loser,CPI(M),Ears of Corn And Sickle,MALE,58.0,SC,Graduate Professional,20300,1587079
1922,Maharashtra,Loser,IND,Ganna Kisan,MALE,69.0,SC,Graduate Professional,35526,1587079
1921,Maharashtra,Loser,VBA,Cup & Saucer,MALE,39.0,SC,Graduate,63287,1587079
2056,Maharashtra,Winner,SHS,Bow and Arrow,MALE,57.0,GENERAL,12th Pass,740969,2370903
1920,Maharashtra,Loser,INC,Hand,MALE,64.0,SC,Others,366625,1587079
348,Maharashtra,Loser,NCP,Clock,MALE,48.0,GENERAL,Graduate,509807,2045405
67,Maharashtra,Loser,VBA,Whistle,MALE,47.0,SC,Others,65135,1833091
1983,Maharashtra,Loser,VBA,Cup & Saucer,MALE,64.0,SC,Graduate Professional,170007,1851654
23,Maharashtra,Winner,BJP,Lotus,MALE,60.0,GENERAL,Graduate Professional,554444,1865169
24,Maharashtra,Loser,VBA,Cup & Saucer,MALE,64.0,GENERAL,Graduate Professional,278848,1865169
25,Maharashtra,Loser,INC,Hand,MALE,60.0,GENERAL,10th Pass,254370,1865169
2253,Maharashtra,Winner,SHS,Bow and Arrow,FEMALE,46.0,GENERAL,Graduate,542098,1916185
2254,Maharashtra,Loser,INC,Hand,MALE,64.0,GENERAL,12th Pass,424159,1916185
2246,Maharashtra,Loser,BSP,Elephant,MALE,37.0,GENERAL,Post Graduate,36423,1743283
745,Maharashtra,Loser,APoI,Coat,MALE,59.0,ST,Graduate Professional,16117,1581366
744,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,24599,1581366
743,Maharashtra,Loser,BSP,Elephant,MALE,44.0,ST,12th Pass,28104,1581366
742,Maharashtra,Loser,VBA,Cup & Saucer,MALE,66.0,ST,Post Graduate,111468,1581366
741,Maharashtra,Loser,INC,Hand,MALE,48.0,ST,Post Graduate,442442,1581366
740,Maharashtra,Winner,BJP,Lotus,MALE,55.0,ST,12th Pass,519968,1581366
859,Maharashtra,Winner,SHS,Bow and Arrow,MALE,38.0,GENERAL,Graduate,585776,1776555
860,Maharashtra,Loser,SWP,Bat,MALE,51.0,GENERAL,10th Pass,489737,1776555
861,Maharashtra,Loser,VBA,Cup & Saucer,MALE,56.0,GENERAL,5th Pass,123419,1776555
874,Maharashtra,Winner,SHS,Bow and Arrow,MALE,48.0,GENERAL,Graduate,586312,1733729
875,Maharashtra,Loser,INC,Hand,MALE,56.0,GENERAL,10th Pass,308456,1733729
876,Maharashtra,Loser,VBA,Key,MALE,60.0,GENERAL,Post Graduate,174051,1733729
877,Maharashtra,Loser,IND,SHIP,MALE,44.0,GENERAL,Post Graduate,23690,1733729
2245,Maharashtra,Loser,VBA,Whistle,MALE,63.0,GENERAL,Post Graduate,36452,1743283
2244,Maharashtra,Loser,INC,Hand,FEMALE,53.0,GENERAL,Graduate Professional,391173,1743283
2243,Maharashtra,Winner,BJP,Lotus,MALE,65.0,GENERAL,10th Pass,578364,1743283
65,Maharashtra,Winner,IND,Spanner,FEMALE,33.0,SC,10th Pass,510947,1833091
66,Maharashtra,Loser,SHS,Bow and Arrow,MALE,71.0,SC,Graduate,473996,1833091
68,Maharashtra,Loser,BSP,Elephant,MALE,56.0,SC,12th Pass,12336,1833091
1919,Maharashtra,Winner,SHS,Bow and Arrow,MALE,56.0,SC,10th Pass,486820,1587079
1982,Maharashtra,Loser,INC,Hand,MALE,77.0,SC,Graduate Professional,366377,1851654
378,Maharashtra,Loser,NCP,Clock,MALE,64.0,GENERAL,10th Pass,452849,1811556
400,Maharashtra,Winner,BJP,Lotus,MALE,58.0,GENERAL,Graduate,523583,1890100
379,Maharashtra,Loser,BSP,Elephant,FEMALE,37.0,GENERAL,Graduate Professional,52659,1811556
462,Maharashtra,Loser,VBA,Cup & Saucer,MALE,57.0,GENERAL,8th Pass,172627,1762918
380,Maharashtra,Loser,VBA,Cup & Saucer,MALE,68.0,GENERAL,Graduate Professional,45842,1811556
461,Maharashtra,Loser,NCP,Clock,MALE,58.0,GENERAL,Graduate Professional,388690,1762918
460,Maharashtra,Winner,SHS,Bow and Arrow,MALE,58.0,GENERAL,12th Pass,521977,1762918
9,Maharashtra,Loser,VBA,Cup & Saucer,MALE,62.0,GENERAL,Graduate,31807,1861396
8,Maharashtra,Loser,NCP,Clock,MALE,34.0,GENERAL,Graduate,423186,1861396
1054,Maharashtra,Winner,SHS,Bow and Arrow,MALE,32.0,GENERAL,Post Graduate,559723,1965676
1055,Maharashtra,Loser,NCP,Clock,MALE,52.0,GENERAL,10th Pass,215380,1965676
488,Maharashtra,Winner,INC,Hand,MALE,43.0,GENERAL,12th Pass,559507,1910188
7,Maharashtra,Winner,BJP,Lotus,MALE,37.0,GENERAL,Doctorate,704660,1861396
2256,Maharashtra,Loser,IND,Tractor Chalata Kisan,MALE,64.0,GENERAL,Post Graduate,24499,1916185
1056,Maharashtra,Loser,VBA,Cup & Saucer,MALE,54.0,GENERAL,12th Pass,65572,1965676
1057,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,13012,1965676
1058,Maharashtra,Loser,BSP,Elephant,MALE,35.0,GENERAL,10th Pass,9627,1965676
404,Maharashtra,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,16397,1890100
403,Maharashtra,Loser,IND,Ring,MALE,27.0,GENERAL,12th Pass,20697,1890100
2257,Maharashtra,Loser,PHJSP,Whistle,FEMALE,28.0,GENERAL,10th Pass,20620,1916185
402,Maharashtra,Loser,VBA,Cup & Saucer,MALE,69.0,GENERAL,Doctorate,51455,1890100
401,Maharashtra,Loser,INC,Hand,MALE,62.0,GENERAL,12th Pass,367254,1890100
2258,Maharashtra,Loser,IND,SHIP,MALE,43.0,GENERAL,Post Graduate,14686,1916185
2255,Maharashtra,Loser,VBA,Cup & Saucer,MALE,37.0,GENERAL,Graduate Professional,94228,1916185
489,Maharashtra,Loser,BJP,Lotus,MALE,64.0,GENERAL,10th Pass,514744,1910188
381,Maharashtra,Loser,IND,Tractor Chalata Kisan,MALE,56.0,GENERAL,Others,13145,1811556
490,Maharashtra,Loser,VBA,Cup & Saucer,MALE,48.0,GENERAL,Graduate Professional,112079,1910188
349,Maharashtra,Loser,VBA,Cup & Saucer,MALE,62.0,GENERAL,Post Graduate,92139,2045405
171,Maharashtra,Winner,AIMIM,Kite,MALE,50.0,GENERAL,Post Graduate,389042,1886284
174,Maharashtra,Loser,SHS,Bow and Arrow,MALE,67.0,GENERAL,12th Pass,384550,1886284
