,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
1351,Kerala,MALAPPURAM,V.P. Sanu,CPI(M),"Hammer, Sickle and Star",MALE,GENERAL,Post Graduate
1352,Kerala,MALAPPURAM,Unnikrishnan,BJP,Lotus,MALE,GENERAL,Graduate Professional
1353,Kerala,MALAPPURAM,Abdul Majeed Faizy,SDPI,Auto- Rickshaw,MALE,GENERAL,10th Pass
1354,West Bengal,MALDAHA DAKSHIN,ABU HASEM KHAN CHOWDHURY (DALU),INC,Hand,MALE,GENERAL,Doctorate
1355,West Bengal,MALDAHA DAKSHIN,SREERUPA MITRA CHAUDHURY,BJP,Lotus,FEMALE,GENERAL,Post Graduate
1356,West Bengal,MALDAHA DAKSHIN,MD. MOAZZEM HOSSAIN,AITC,Flowers and Grass,MALE,GENERAL,Graduate Professional
1357,West Bengal,MALDAHA UTTAR,KHAGEN MURMU,BJP,Lotus,MALE,ST,Graduate
1358,West Bengal,MALDAHA UTTAR,MAUSAM NOOR,AITC,Flowers and Grass,FEMALE,GENERAL,Graduate Professional
1359,West Bengal,MALDAHA UTTAR,ISHA KHAN CHOUDHURY,INC,Hand,MALE,GENERAL,Graduate
1360,West Bengal,MALDAHA UTTAR,BISWANATH GHOSH,CPI(M),"Hammer, Sickle and Star",MALE,GENERAL,Graduate
1361,Telangana,MALKAJGIRI,ANUMULA REVANTH REDDY,INC,Hand,MALE,GENERAL,Graduate
1362,Telangana,MALKAJGIRI,RAJASHEKAR REDDY MARRI,TRS,Car,MALE,GENERAL,12th Pass
1363,Telangana,MALKAJGIRI,RAMCHANDER RAO NARAPARAJU,BJP,Lotus,MALE,GENERAL,Post Graduate
1364,Telangana,MALKAJGIRI,MAHENDER REDDY BONGUNOORI,JnP,Glass Tumbler,MALE,GENERAL,10th Pass
1365,Telangana,MALKAJGIRI,NOTA,NOTA,,,,
1366,Himachal Pradesh,MANDI,RAM SWAROOP SHARMA,BJP,Lotus,MALE,GENERAL,10th Pass
1367,Himachal Pradesh,MANDI,AASHRAY SHARMA,INC,Hand,MALE,GENERAL,Others
1368,Himachal Pradesh,MANDI,DALEEP SINGH KAITH,CPI(M),"Hammer, Sickle and Star",MALE,GENERAL,Post Graduate
1369,Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,BJP,Lotus,MALE,ST,Post Graduate
